City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Arsenyev,RU,75.2,broken clouds,44.1631,133.2733,ArsHostel on Kalininskaya 18
416,Amroha,IN,84.49,clear sky,28.9167,78.4667,Hotel Parth Amroha
418,Kavieng,PG,85.3,light rain,-2.5744,150.7967,Nusa Island Retreat
419,Riyadh,SA,84.43,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
425,Brokopondo,SR,75.65,overcast clouds,4.75,-55.1667,Matu Island
432,Pitimbu,BR,78.6,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
433,San Jose,US,84.58,clear sky,37.3394,-121.895,The Westin San Jose
435,Jieshi,CN,81.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
439,Latung,PH,82.53,overcast clouds,5.5,120.8833,
441,Labuhan,ID,83.37,overcast clouds,-6.8844,112.2051,DoubleFAG
443,El Arenal,MX,84.11,overcast clouds,20.7833,-103.7,Hotel el campesino
444,Emerald,AU,81.34,clear sky,-23.5333,148.1667,The Irish Village
447,Jiexiu,CN,79.34,scattered clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
448,Pringsewu,ID,83.79,broken clouds,-5.3582,104.9744,Urban Style by Front One
450,Kingaroy,AU,78.1,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
457,Oum Hadjer,TD,88.83,overcast clouds,13.2954,19.6966,
458,Kralendijk,BQ,80.58,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
469,Araouane,ML,85.05,few clouds,18.9048,-3.5265,
470,Andros Town,BS,76.96,clear sky,24.7,-77.7667,Hanks place
471,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
474,Aloleng,PH,85.15,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
477,Pathalgaon,IN,83.3,clear sky,22.5667,83.4667,Queens Park Marriage Garden
480,Cozumel,MX,80.01,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
485,Teahupoo,PF,82.36,light rain,-17.8333,-149.2667,Vanira Lodge
493,Topolobampo,MX,75.11,clear sky,25.6,-109.05,Hotel Marina Topolobampo
500,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
501,Yaan,NG,76.21,overcast clouds,7.3833,8.5667,
502,Blackwater,AU,82.6,clear sky,-23.5833,148.8833,Blackwater Motor Inn
513,Sabang,ID,82.53,overcast clouds,5.8933,95.3214,Hotel Citra
514,Byron Bay,AU,79.95,broken clouds,-28.65,153.6167,Backpackers Inn
516,Caravelas,BR,78.1,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
521,Jiaojiang,CN,77.0,overcast clouds,28.6803,121.4428,Fangyuan Hotel
522,Hue,VN,77.11,broken clouds,16.4667,107.6,Saigon Morin Hotel
524,Lakatoro,VU,82.51,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
531,Sola,VU,81.86,few clouds,-13.8833,167.55,Leumerus Bungalows
532,Piacabucu,BR,77.52,few clouds,-10.4056,-36.4344,Piaçabuçu News
536,Cirebon,ID,83.68,overcast clouds,-6.7063,108.557,ASTON Cirebon Hotel & Convention Center
540,Tamandare,BR,77.83,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
543,Tautira,PF,81.5,light rain,-17.7333,-149.15,Pension Oaoa
548,Kaduqli,SD,79.74,overcast clouds,11.0167,29.7167,Nussyba
553,Pemangkat,ID,82.42,overcast clouds,1.1667,108.9667,Ramah Kost KITA
554,Port Moresby,PG,80.64,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
558,Najran,SA,75.56,clear sky,17.4924,44.1277,محمد هادي ال فطيح
560,Lufilufi,WS,87.58,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
563,Bida,NG,80.73,overcast clouds,9.0833,6.0167,Royal Suite
567,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Base Lodging
569,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
574,Kidal,ML,85.03,few clouds,18.4411,1.4078,
575,Kapoeta,SS,76.55,overcast clouds,4.7717,33.5903,Eastgate Hotel
578,Hongjiang,CN,77.56,scattered clouds,27.11,109.9956,洪江大酒店
580,Half Moon Bay,US,79.88,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
584,Kieta,PG,86.14,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
586,Panaba,MX,82.35,broken clouds,21.2833,-88.2667,Hotel California
587,Atambua,ID,84.42,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
590,Querecotillo,PE,76.23,broken clouds,-4.8378,-80.6456,Buongorno Suites Sullana II
592,Rusera,IN,84.16,clear sky,25.75,86.0333,Santosh Hotel&Santosh resturent
594,Bayan,CN,79.03,overcast clouds,46.0833,127.4,Wanhao Inn
597,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
599,Nhulunbuy,AU,88.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
603,Avera,US,76.55,broken clouds,33.194,-82.5271,
605,Bengkulu,ID,81.21,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
607,Tura,IN,79.5,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
608,Ambunti,PG,82.99,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
611,Tezu,IN,79.23,broken clouds,27.9167,96.1667,Circuit House
613,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
618,Metro,ID,83.17,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
619,Jeremie,HT,78.78,scattered clouds,18.65,-74.1167,Auberge’Inn
623,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
624,Mujiayingzi,CN,76.73,overcast clouds,42.1167,118.7833,Jinjiang Hotel
629,Dicabisagan,PH,87.46,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
632,Ciudad Guayana,VE,76.51,scattered clouds,8.3533,-62.6528,Hotel Las Americas
636,Mackay,AU,86.68,few clouds,-21.15,149.2,International Lodge Motel
638,West Bay,KY,82.0,few clouds,19.3667,-81.4167,Calypso Cove
640,Buchanan,LR,79.66,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
647,Laguna,US,86.97,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
648,Reforma,MX,85.39,broken clouds,18.1,-91.0167,
649,Tessalit,ML,83.16,overcast clouds,20.1986,1.0114,
653,Camargo,MX,82.38,broken clouds,27.6667,-105.1667,Hotel Santa Fe
654,Amahai,ID,87.06,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
655,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
666,Fare,PF,82.02,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
667,Bonthe,SL,79.95,moderate rain,7.5264,-12.505,Bonthe Holiday Village
668,Pekan,MY,82.78,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
669,Pasni,PK,80.29,clear sky,25.2631,63.471,Kashmiri Hotal
672,Lorengau,PG,83.86,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
673,Bay Saint Louis,US,79.02,few clouds,30.3088,-89.33,The Abode Guest House
677,Monrovia,LR,80.28,light rain,6.3005,-10.7969,Sunset Inn
679,Bhuj,IN,79.88,scattered clouds,23.2667,69.6667,Regenta Resort Bhuj
