City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Banda Aceh,ID,82.85,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
96,Axim,GH,79.84,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
98,Cidreira,BR,65.97,overcast clouds,-30.1811,-50.2056,Hotel Castelo
99,Fairbanks,US,55.98,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
100,Atuona,PF,79.18,clear sky,-9.8,-139.0333,Villa Enata
102,Rurrenabaque,BO,61.93,clear sky,-14.4413,-67.5278,Casa de Campo
104,Laem Sing,TH,84.42,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
105,Stanisic,RS,57.15,broken clouds,45.94,19.1653,
108,Denpasar,ID,85.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
109,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
110,Preobrazheniye,RU,52.97,broken clouds,42.9019,133.9064,Campsite Orlan
112,Palmas Bellas,PA,84.02,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
113,Mataura,NZ,63.48,broken clouds,-46.1927,168.8643,Ellie's Villa
114,New Norfolk,AU,56.91,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
115,Fortuna,US,55.92,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
117,Rabo De Peixe,PT,62.11,broken clouds,37.8,-25.5833,Quinta das Giestas
118,Mahajanga,MG,69.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
119,Ngunguru,NZ,66.38,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
120,Puerto Escondido,MX,82.49,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
121,Port Alfred,ZA,64.6,overcast clouds,-33.5906,26.891,The Halyards Hotel
123,Sioux Lookout,CA,53.67,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
124,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
132,Peterhead,GB,50.4,overcast clouds,57.5058,-1.7981,Palace Hotel
133,Oussouye,SN,72.75,clear sky,12.485,-16.5469,Auberge du Routard
134,Loja,EC,56.52,light rain,-3.9931,-79.2042,Hotel Libertador
136,Waingapu,ID,85.73,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
