City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Morehead,US,37.2711,-87.1764,57.94,83,0,0.0,clear sky
175,Cabo San Lucas,MX,22.8909,-109.9124,76.3,68,0,11.5,clear sky
176,Ostrovnoy,RU,68.0531,39.5131,18.81,87,76,14.79,broken clouds
177,West Memphis,US,35.1465,-90.1845,69.37,68,0,8.05,clear sky
178,Nikolskoye,RU,59.7035,30.7861,38.8,64,94,6.87,overcast clouds
179,Marana,US,32.4367,-111.2254,84.54,11,0,11.5,clear sky
180,Ust-Kut,RU,56.7938,105.7672,38.89,46,75,8.7,broken clouds
181,Nouadhibou,MR,20.931,-17.0347,63.48,86,0,20.62,clear sky
182,Uberlandia,BR,-18.9186,-48.2772,59.95,88,82,5.06,broken clouds
183,Gerede,TR,40.8008,32.1969,35.17,96,99,6.8,overcast clouds
184,Mount Gambier,AU,-37.8333,140.7667,48.11,87,75,11.5,heavy intensity rain
185,Umm Lajj,SA,25.0213,37.2685,77.23,69,2,9.53,clear sky
186,General Roca,AR,-39.0333,-67.5833,60.26,41,84,3.31,broken clouds
187,Suntar,RU,62.1444,117.6319,36.19,77,100,9.22,light rain
188,Bandarbeyla,SO,9.4942,50.8122,81.27,88,46,4.32,scattered clouds
189,Bela,IN,25.9333,81.9833,88.77,49,35,11.07,scattered clouds
190,Rawson,AR,-43.3002,-65.1023,64.27,50,81,11.72,broken clouds
191,Kasongo-Lunda,CD,-6.4667,16.8167,70.66,83,98,1.86,overcast clouds
192,Merauke,ID,-8.4667,140.3333,85.82,62,85,9.4,overcast clouds
193,Harper,LR,4.375,-7.7169,80.58,83,63,3.91,broken clouds
194,Mattru,SL,7.6244,-11.8332,77.77,92,81,0.36,light rain
195,San-Pedro,CI,4.7485,-6.6363,80.22,84,97,3.65,overcast clouds
196,Sabzevar,IR,36.2126,57.6819,51.08,93,0,0.0,clear sky
197,Ixtapa,MX,20.7,-105.2,77.23,77,89,1.99,overcast clouds
198,Sao Filipe,CV,14.8961,-24.4956,71.96,80,11,4.52,few clouds
199,Tilichiki,RU,60.4667,166.1,31.82,87,87,9.53,overcast clouds
200,Chukhloma,RU,58.7525,42.6825,26.56,75,9,5.3,clear sky
201,Guerrero Negro,MX,27.9769,-114.0611,60.37,77,0,17.4,clear sky
202,Dickinson,US,29.4608,-95.0513,79.12,86,20,10.36,few clouds
203,Nicoya,CR,10.1483,-85.452,77.58,89,100,4.52,light rain
204,Sinnamary,GF,5.3833,-52.95,76.15,89,100,4.59,overcast clouds
205,Airai,TL,-8.9266,125.4092,74.82,55,100,4.05,overcast clouds
206,George Town,MY,5.4112,100.3354,85.95,79,20,0.0,few clouds
207,Pathein,MM,16.7833,94.7333,87.94,56,24,2.66,few clouds
208,Port Lincoln,AU,-34.7333,135.8667,57.74,54,96,19.95,overcast clouds
209,Ariquemes,BR,-9.9133,-63.0408,72.41,90,74,2.84,broken clouds
210,Clyde River,CA,70.4692,-68.5914,18.64,83,100,4.76,overcast clouds
211,Diamantino,BR,-14.4086,-56.4461,63.19,70,4,3.15,clear sky
212,Huilong,CN,31.8111,121.655,67.12,73,0,13.87,clear sky
213,Jasdan,IN,22.0333,71.2,79.92,76,0,10.02,clear sky
214,Karpathos,GR,35.507,27.2132,60.76,67,0,27.63,clear sky
215,Alexander City,US,32.944,-85.9539,73.18,88,0,0.0,clear sky
216,Kainantu,PG,-6.2887,145.8655,68.36,87,98,1.59,overcast clouds
217,Carnarvon,AU,-24.8667,113.6333,79.79,37,0,23.15,clear sky
218,Tuatapere,NZ,-46.1333,167.6833,64.42,69,99,4.92,overcast clouds
219,Nicolas Bravo,MX,18.45,-88.9167,77.63,83,62,4.68,broken clouds
220,Georgetown,MY,5.4112,100.3354,85.95,79,20,0.0,few clouds
221,Kushnarenkovo,RU,55.105,55.3508,49.6,83,100,6.08,overcast clouds
222,Rafaela,AR,-31.2503,-61.4867,54.99,52,87,1.99,overcast clouds
223,Estepona,ES,36.4276,-5.1459,57.02,88,3,4.09,clear sky
224,Kudahuvadhoo,MV,2.6708,72.8944,81.97,74,100,16.08,light rain
225,Ugoofaaru,MV,5.6667,73.0,85.12,71,100,14.92,overcast clouds
226,The Pas,CA,53.8251,-101.2541,35.1,96,100,7.31,overcast clouds
227,Kailua,US,21.4022,-157.7394,84.18,72,40,14.97,scattered clouds
228,Kyshtovka,RU,56.555,76.6271,50.86,43,100,7.02,overcast clouds
229,Hirara,JP,24.8,125.2833,73.67,94,75,16.11,light intensity shower rain
230,Raudeberg,NO,61.9875,5.1352,43.47,93,100,21.85,overcast clouds
231,Margate,GB,51.3813,1.3862,51.87,88,10,3.0,clear sky
232,Beloha,MG,-25.1667,45.05,65.05,91,62,8.37,broken clouds
233,Chunoyar,RU,57.4467,97.3217,43.29,57,14,4.65,few clouds
234,Galveston,US,29.3669,-94.9669,79.05,86,37,1.99,scattered clouds
235,Hauterive,FR,46.0901,3.4459,52.56,92,100,0.87,overcast clouds
236,Vestmannaeyjar,IS,63.4427,-20.2734,39.27,61,100,1.83,overcast clouds
237,Duluth,US,46.7833,-92.1066,45.07,72,0,5.75,clear sky
238,Bluff,NZ,-46.6,168.3333,63.81,71,60,4.7,broken clouds
239,Namatanai,PG,-3.6667,152.4333,84.33,72,93,9.6,light rain
240,Pec,XK,42.6591,20.2883,48.88,78,11,3.58,few clouds
241,Ketchikan,US,55.3422,-131.6461,48.67,71,20,14.97,few clouds
242,Kahului,US,20.8947,-156.47,78.96,88,40,15.01,scattered clouds
243,Hay River,CA,60.8156,-115.7999,46.38,76,75,16.11,thunderstorm
244,Constitucion,CL,-35.3333,-72.4167,55.96,78,89,2.24,overcast clouds
245,Codrington,AU,-38.2667,141.9667,54.77,59,92,7.92,overcast clouds
246,Post Falls,US,47.718,-116.9516,68.65,52,0,0.0,clear sky
247,Sitka,US,57.0531,-135.33,44.49,70,100,9.22,light rain
248,Durban,ZA,-29.8579,31.0292,65.01,93,0,4.0,clear sky
249,Kaitangata,NZ,-46.2817,169.8464,63.68,55,11,1.7,few clouds
250,Sorland,NO,67.667,12.6934,35.44,100,100,26.93,light rain
251,Mocuba,MZ,-16.8392,36.9856,64.02,98,59,3.96,broken clouds
252,Greeley,US,40.4233,-104.7091,51.12,78,96,1.01,overcast clouds
253,Hasaki,JP,35.7333,140.8333,79.29,70,100,14.47,overcast clouds
254,Chegutu,ZW,-18.1302,30.1407,56.59,78,11,4.88,few clouds
255,Salalah,OM,17.0151,54.0924,82.49,65,20,5.75,few clouds
256,Khudumelapye,BW,-23.8833,24.75,59.49,54,1,1.83,clear sky
257,Monte Lirio,PA,8.7833,-82.8333,69.08,99,100,0.89,overcast clouds
258,Leshan,CN,29.5623,103.7639,76.24,50,100,1.34,overcast clouds
259,Faanui,PF,-16.4833,-151.75,81.73,75,31,10.71,light rain
260,Warrenton,ZA,-28.114,24.8475,57.45,44,0,4.43,clear sky
261,Atasu,KZ,48.6814,71.6433,48.2,60,4,1.07,clear sky
262,Narrabri,AU,-30.3167,149.7833,71.53,78,99,1.01,overcast clouds
263,Eydhafushi,MV,5.1033,73.0708,84.83,74,100,15.64,light rain
264,Scottsbluff,US,41.8666,-103.6672,49.32,80,100,6.91,overcast clouds
265,Norman Wells,CA,65.282,-126.8329,37.44,87,100,9.22,overcast clouds
266,Rantepao,ID,-2.9701,119.8978,80.51,70,98,2.3,overcast clouds
267,Porto Velho,BR,-8.7619,-63.9039,75.25,94,20,3.44,few clouds
268,Alamo,MX,20.9167,-97.6833,78.75,90,5,5.64,clear sky
269,Summerland,CA,49.5998,-119.6691,58.55,61,100,6.46,overcast clouds
270,Kaka,TM,37.3482,59.6143,66.94,69,37,2.1,scattered clouds
271,Lidkoping,SE,58.5052,13.1577,46.42,79,85,7.49,overcast clouds
272,Ahipara,NZ,-35.1667,173.1667,69.67,60,6,6.78,clear sky
273,Egvekinot,RU,66.3167,-179.1667,24.19,73,65,3.53,broken clouds
274,Arica,CL,-18.475,-70.3042,63.95,72,0,3.44,clear sky
275,Manama,BH,26.2154,50.5832,84.18,49,0,3.44,clear sky
276,Dullewala,PK,31.8359,71.4362,80.74,40,3,9.15,clear sky
277,Bela Vista Do Paraiso,BR,-22.9967,-51.1906,58.24,93,51,3.69,broken clouds
278,Beyneu,KZ,45.3167,55.2,56.82,53,0,9.28,clear sky
279,Kununurra,AU,-15.7667,128.7333,89.58,31,8,13.8,clear sky
280,Tasiilaq,GL,65.6145,-37.6368,23.16,81,70,5.06,broken clouds
281,Sassandra,CI,4.95,-6.0833,79.43,85,82,4.07,light rain
282,Peleduy,RU,59.6289,112.7406,35.92,75,100,13.2,light rain
283,Nova Esperanca,BR,4.438,-61.1151,70.83,95,100,1.34,overcast clouds
284,Curanilahue,CL,-37.4667,-73.35,51.91,93,63,2.46,broken clouds
285,Kota Belud,MY,6.351,116.4305,86.29,65,100,3.2,overcast clouds
286,Key Largo,US,25.0865,-80.4473,79.0,66,1,5.97,clear sky
287,Mende,FR,44.6667,3.5,38.46,96,72,5.26,broken clouds
288,Namibe,AO,-15.1961,12.1522,78.17,61,1,2.35,clear sky
289,Bethel,US,41.3712,-73.414,57.36,89,63,1.01,broken clouds
290,Guanambi,BR,-14.2233,-42.7814,72.93,55,0,3.58,clear sky
291,Elko,US,41.0002,-115.5012,64.22,30,63,10.0,broken clouds
292,Hami,CN,42.8,93.45,80.71,22,100,12.35,overcast clouds
293,Komsomolskiy,UZ,40.4272,71.7189,66.92,72,20,6.91,few clouds
294,Shiyan,CN,32.6475,110.7781,83.41,40,0,1.23,clear sky
295,Rocky Mount,US,35.9382,-77.7905,75.36,69,20,4.61,few clouds
296,College,US,64.8569,-147.8028,55.98,38,75,10.36,broken clouds
297,Pochutla,MX,15.7432,-96.4661,84.02,56,61,7.38,broken clouds
298,Boa Vista,BR,2.8197,-60.6733,76.98,88,40,2.3,scattered clouds
299,Iskateley,RU,67.6803,53.1512,12.09,97,69,5.3,broken clouds
300,Torbay,CA,47.6666,-52.7314,40.75,89,100,8.01,overcast clouds
301,Koslan,RU,63.4564,48.8989,25.74,85,61,6.2,broken clouds
302,Guiratinga,BR,-16.3494,-53.7583,60.8,64,1,2.98,clear sky
303,Nizwa,OM,22.9333,57.5333,79.68,25,0,5.88,clear sky
304,Chicama,PE,-7.8447,-79.1469,67.77,80,55,6.64,broken clouds
305,Odweyne,SO,9.4092,45.064,73.9,67,24,5.21,few clouds
306,Calama,CL,-22.4667,-68.9333,50.49,43,0,12.66,clear sky
307,Chimore,BO,-16.9833,-65.1333,63.46,89,13,1.88,few clouds
308,Puerto Ayacucho,VE,5.6639,-67.6236,79.7,80,95,6.78,moderate rain
309,Kumluca,TR,36.3703,30.2869,62.15,68,46,5.46,scattered clouds
310,Pitiquito,MX,30.7,-112.0833,80.71,23,0,15.46,clear sky
311,Buriti Bravo,BR,-5.8372,-43.8336,71.92,92,22,0.72,few clouds
312,Kulhudhuffushi,MV,6.6221,73.07,84.74,73,100,14.29,overcast clouds
313,Arraial Do Cabo,BR,-22.9661,-42.0278,75.18,87,82,10.29,broken clouds
314,Kendari,ID,-3.945,122.4989,83.62,80,99,0.58,overcast clouds
315,Kisangani,CD,0.5167,25.2,70.92,86,100,2.73,overcast clouds
316,Griffith,US,41.5284,-87.4237,49.1,86,0,6.91,clear sky
317,Kindu,CD,-2.95,25.95,71.47,92,100,2.42,overcast clouds
318,Batemans Bay,AU,-35.7167,150.1833,64.09,87,86,6.31,overcast clouds
319,Alice Springs,AU,-23.7,133.8833,60.35,51,75,16.11,broken clouds
320,Victor Harbor,AU,-35.5667,138.6167,54.0,77,32,16.35,light rain
321,Baghmara,IN,23.795,86.2085,84.38,55,28,5.55,scattered clouds
322,Camopi,GF,3.1655,-52.3158,71.47,99,100,1.32,overcast clouds
323,Vila Velha,BR,-20.3297,-40.2925,78.94,84,13,1.01,few clouds
324,Balykshi,KZ,47.0667,51.8667,46.4,76,0,8.95,clear sky
325,Omsukchan,RU,62.5333,155.8,32.68,95,6,4.63,clear sky
326,Nsanje,MW,-16.92,35.262,63.43,98,6,2.3,clear sky
327,Fukue,JP,32.6881,128.8419,70.16,73,20,10.36,few clouds
328,Vidim,RU,56.4088,103.1106,38.3,42,7,5.82,clear sky
329,Lillooet,CA,50.6856,-121.942,53.26,76,100,6.13,overcast clouds
330,Olafsvik,IS,64.8945,-23.7142,36.25,61,98,5.55,overcast clouds
331,Havoysund,NO,70.9963,24.6622,23.23,80,83,7.38,broken clouds
332,Buala,SB,-8.145,159.5921,85.84,66,33,3.91,scattered clouds
333,Yar-Sale,RU,66.8333,70.8333,20.16,80,76,11.48,broken clouds
334,Geraldton,AU,-28.7667,114.6,70.21,37,0,29.93,clear sky
335,Haines Junction,CA,60.7522,-137.5108,39.99,68,100,6.31,overcast clouds
336,Savannah Bight,HN,16.45,-85.85,82.0,85,90,24.99,overcast clouds
337,Rio De Jesus,PA,7.9844,-81.1631,77.02,91,100,3.98,overcast clouds
338,Eureka,US,40.8021,-124.1637,56.19,84,100,1.01,overcast clouds
339,Loviisa,FI,60.4566,26.2251,36.52,61,100,4.54,overcast clouds
340,Fergus Falls,US,46.283,-96.0776,54.16,65,0,3.44,clear sky
341,Raymond,US,43.9015,-70.4703,49.57,91,100,4.61,overcast clouds
342,Champerico,GT,14.3,-91.9167,84.61,72,100,6.44,overcast clouds
343,Ontario,US,34.0633,-117.6509,84.4,44,0,17.27,clear sky
344,Yining,CN,29.0361,114.5636,78.39,47,0,1.81,clear sky
345,Vung Tau,VN,10.346,107.0843,83.1,76,96,9.75,overcast clouds
346,Kovur,IN,14.4833,79.9833,87.67,62,71,11.9,broken clouds
347,Sept-Iles,CA,50.2001,-66.3821,37.06,94,25,8.43,scattered clouds
